car;modelo del año;country;kilometraje;no_of_cylinders;Desplazamiento;hp;weight;acelerar;price;Class;model_year;mileage;displacement;hp2;weight2;acceleration;price2
oldsmobile cutlass salon brougham;1978;USA;19.9;8;260;110;3365;15.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
dodge diplomat;1978;USA;19.4;8;318;140;3735;13.2;40000;vgood;70;low;medium;weak;heavy;med;vgood
mercury monarch ghia;1978;USA;20.2;8;302;139;3570;12.8;34089;vgood;70;low;medium;weak;heavy;med;vgood
pontiac phoenix lj;1978;USA;19.2;6;231;105;3535;19.2;30000;vgood;70;low;medium;weak;heavy;med;vgood
chevrolet malibu;1978;USA;20.5;6;200;95;3155;18.2;20000;good;70;low;short;vweak;heavy;med;good
ford fairmont (auto);1978;USA;20.2;6;200;85;2965;15.8;30000;vgood;70;low;short;vweak;regular;med;vgood
ford fairmont (man);1978;USA;25.1;4;140;88;2720;15.4;40000;vgood;70;medium;short;vweak;regular;med;vgood
plymouth volare;1978;USA;20.5;6;225;100;3430;17.2;30000;vgood;70;low;medium;vweak;heavy;med;vgood
amc concord;1978;USA;19.4;6;232;90;3210;17.2;30000;vgood;70;low;medium;vweak;heavy;med;vgood
buick century special;1978;USA;20.6;6;231;105;3380;15.8;40000;vgood;70;low;medium;weak;heavy;med;vgood
mercury zephyr;1978;USA;20.8;6;200;85;3070;16.7;33561;vgood;70;low;short;vweak;heavy;med;vgood
dodge aspen;1978;USA;18.6;6;225;110;3620;18.7;33044;vgood;70;low;medium;weak;heavy;med;vgood
amc concord d/l;1978;USA;18.1;6;258;120;3410;15.1;25626;vgood;70;low;medium;weak;heavy;med;vgood
chevrolet monte carlo landau;1978;USA;19.2;8;305;145;3425;13.2;50025;vgood;70;low;medium;weak;heavy;med;vgood
buick regal sport coupe (turbo);1978;USA;17.7;6;231;165;3445;13.4;20000;good;70;low;medium;weak;heavy;med;good
ford futura;1978;USA;18.1;8;302;139;3205;11.2;35375;vgood;70;low;medium;weak;heavy;med;vgood
dodge magnum xe;1978;USA;17.5;8;318;140;4080;13.7;26331;vgood;70;low;medium;weak;vheavy;med;vgood
chevrolet chevette;1978;USA;30;4;98;68;2155;16.5;49296;vgood;70;medium;vshort;vweak;regular;med;vgood
toyota corona;1978;Japan;27.5;4;134;95;2560;14.2;30000;vgood;70;medium;short;vweak;regular;med;vgood
datsun 510;1978;Japan;27.2;4;119;97;2300;14.7;35110;vgood;70;medium;short;vweak;regular;med;vgood
dodge omni;1978;USA;30.9;4;105;75;2230;14.5;24167;good;70;medium;short;vweak;regular;med;good
toyota celica gt liftback;1978;Japan;21.1;4;134;95;2515;14.8;14512;good;70;medium;short;vweak;regular;med;good
plymouth sapporo;1978;USA;23.2;4;156;105;2745;16.7;36338;vgood;70;medium;short;weak;regular;med;vgood
oldsmobile starfire sx;1978;USA;23.8;4;151;85;2855;17.6;30000;vgood;70;medium;short;vweak;regular;med;vgood
datsun 200-sx;1978;Japan;23.9;4;119;97;2405;14.9;47710;vgood;70;medium;short;vweak;regular;med;vgood
audi 5000;1978;Europe;20.3;5;131;103;2830;15.9;43262;vgood;70;low;short;weak;regular;med;vgood
volvo 264gl;1978;Europe;17;6;163;125;3140;13.6;44816;vgood;70;low;short;weak;heavy;med;vgood
saab 99gle;1978;Europe;21.6;4;121;115;2795;15.7;47598;vgood;70;medium;short;weak;regular;med;vgood
peugeot 604sl;1978;Europe;16.2;6;163;133;3410;15.8;23052;good;70;low;short;weak;heavy;med;good
volkswagen scirocco;1978;Europe;31.5;4;89;71;1990;14.9;30000;vgood;70;high;vshort;vweak;small;med;vgood
honda accord lx;1978;Japan;29.5;4;98;68;2135;16.6;20000;good;70;medium;vshort;vweak;regular;med;good
pontiac lemans v6;1979;USA;21.5;6;231;115;3245;15.4;20000;good;70;medium;medium;weak;heavy;med;good
mercury zephyr 6;1979;USA;19.8;6;200;85;2990;18.2;37444;vgood;70;low;short;vweak;regular;med;vgood
ford fairmont 4;1979;USA;22.3;4;140;88;2890;17.3;20000;good;70;medium;short;vweak;regular;med;good
amc concord dl 6;1979;USA;20.2;6;232;90;3265;18.2;12841;good;70;low;medium;vweak;heavy;med;good
dodge aspen 6;1979;USA;20.6;6;225;110;3360;16.6;26927;vgood;70;low;medium;weak;heavy;med;vgood
chevrolet caprice classic;1979;USA;17;8;305;130;3840;15.4;30000;vgood;70;low;medium;weak;heavy;med;vgood
ford ltd landau;1979;USA;17.6;8;302;129;3725;13.4;52480;vgood;70;low;medium;weak;heavy;med;vgood
mercury grand marquis;1979;USA;16.5;8;351;138;3955;13.2;13074;good;70;low;medium;weak;heavy;med;good
dodge st. regis;1979;USA;18.2;8;318;135;3830;15.2;8766;acc;70;low;medium;weak;heavy;med;acc
buick estate wagon (sw);1979;USA;16.9;8;350;155;4360;14.9;24606;good;70;low;medium;weak;vheavy;med;good
ford country squire (sw);1979;USA;15.5;8;351;142;4054;14.3;25696;vgood;70;low;medium;weak;vheavy;med;vgood
chevrolet malibu classic (sw);1979;USA;19.2;8;267;125;3605;15;26157;vgood;70;low;medium;weak;heavy;med;vgood
chrysler lebaron town @ country (sw);1979;USA;18.5;8;360;150;3940;13;14944;good;70;low;medium;weak;heavy;med;good
vw rabbit custom;1979;Europe;31.9;4;89;71;1925;14;40000;vgood;70;high;vshort;vweak;small;med;vgood
maxda glc deluxe;1979;Japan;34.1;4;86;65;1975;15.2;20000;good;70;high;vshort;vweak;small;med;good
dodge colt hatchback custom;1979;USA;35.7;4;98;80;1915;14.4;44272;vgood;70;high;vshort;vweak;small;med;vgood
amc spirit dl;1979;USA;27.4;4;121;80;2670;15;40000;vgood;70;medium;short;vweak;regular;med;vgood
mercedes benz 300d;1979;Europe;25.4;5;183;77;3530;20.1;20000;good;70;medium;short;vweak;heavy;med;good
cadillac eldorado;1979;USA;23;8;350;125;3900;17.4;44274;vgood;70;medium;medium;weak;heavy;med;vgood
peugeot 504;1979;Europe;27.2;4;141;71;3190;24.8;24639;good;70;medium;short;vweak;heavy;high;good
oldsmobile cutlass salon brougham;1979;USA;23.9;8;260;90;3420;22.2;33062;vgood;70;medium;medium;vweak;heavy;high;vgood
plymouth horizon;1979;USA;34.2;4;105;70;2200;13.2;30000;vgood;70;high;short;vweak;regular;med;vgood
plymouth horizon tc3;1979;USA;34.5;4;105;70;2150;14.9;22907;good;70;high;short;vweak;regular;med;good
datsun 210;1979;Japan;31.8;4;85;65;2020;19.2;30000;vgood;70;high;vshort;vweak;regular;med;vgood
fiat strada custom;1979;Europe;37.3;4;91;69;2130;14.7;30000;vgood;70;high;vshort;vweak;regular;med;vgood
buick skylark limited;1979;USA;28.4;4;151;90;2670;16;33323;vgood;70;medium;short;vweak;regular;med;vgood
chevrolet citation;1979;USA;28.8;6;173;115;2595;11.3;30000;vgood;70;medium;short;weak;regular;med;vgood
oldsmobile omega brougham;1979;USA;26.8;6;173;115;2700;12.9;45924;vgood;70;medium;short;weak;regular;med;vgood
pontiac phoenix;1979;USA;33.5;4;151;90;2556;13.2;49549;vgood;70;high;short;vweak;regular;med;vgood
vw rabbit;1980;Europe;41.5;4;98;76;2144;14.7;48911;vgood;80;vhigh;vshort;vweak;regular;med;vgood
toyota corolla tercel;1980;Japan;38.1;4;89;60;1968;18.8;20000;good;80;high;vshort;vweak;small;med;good
chevrolet chevette;1980;USA;32.1;4;98;70;2120;15.5;8401;acc;80;high;vshort;vweak;regular;med;acc
datsun 310;1980;Japan;37.2;4;86;65;2019;16.4;34035;vgood;80;high;vshort;vweak;regular;med;vgood
chevrolet citation;1980;USA;28;4;151;90;2678;16.5;34799;vgood;80;medium;short;vweak;regular;med;vgood
ford fairmont;1980;USA;26.4;4;140;88;2870;18.1;17032;good;80;medium;short;vweak;regular;med;good
amc concord;1980;USA;24.3;4;151;90;3003;20.1;30000;vgood;80;medium;short;vweak;heavy;med;vgood
dodge aspen;1980;USA;19.1;6;225;90;3381;18.7;30000;vgood;80;low;medium;vweak;heavy;med;vgood
audi 4000;1980;Europe;34.3;4;97;78;2188;15.8;40000;vgood;80;high;vshort;vweak;regular;med;vgood
toyota corona liftback;1980;Japan;29.8;4;134;90;2711;15.5;40000;vgood;80;medium;short;vweak;regular;med;vgood
mazda 626;1980;Japan;31.3;4;120;75;2542;17.5;27206;vgood;80;high;short;vweak;regular;med;vgood
datsun 510 hatchback;1980;Japan;37;4;119;92;2434;15;47697;vgood;80;high;short;vweak;regular;med;vgood
toyota corolla;1980;Japan;32.2;4;108;75;2265;15.2;30000;vgood;80;high;short;vweak;regular;med;vgood
mazda glc;1980;Japan;46.6;4;86;65;2110;17.9;30000;vgood;80;vhigh;vshort;vweak;regular;med;vgood
dodge colt;1980;USA;27.9;4;156;105;2800;14.4;52036;vgood;80;medium;short;weak;regular;med;vgood
datsun 210;1980;Japan;40.8;4;85;65;2110;19.2;26408;vgood;80;high;vshort;vweak;regular;med;vgood
vw rabbit c (diesel);1980;Europe;44.3;4;90;48;2085;21.7;51239;vgood;80;vhigh;vshort;vweak;regular;high;vgood
vw dasher (diesel);1980;Europe;43.4;4;90;48;2335;23.7;40000;vgood;80;vhigh;vshort;vweak;regular;high;vgood
audi 5000s (diesel);1980;Europe;36.4;5;121;67;2950;19.9;44495;vgood;80;high;short;vweak;regular;med;vgood
mercedes-benz 240d;1980;Europe;30;4;146;67;3250;21.8;20000;good;80;medium;short;vweak;heavy;high;good
honda civic 1500 gl;1980;Japan;44.6;4;91;67;1850;13.8;20000;good;80;vhigh;vshort;vweak;small;med;good
renault lecar deluxe;1980;Europe;40.9;4;85;;1835;17.3;32651;vgood;80;high;vshort;vweak;small;med;vgood
subaru dl;1980;Japan;33.8;4;97;67;2145;18;35336;vgood;80;high;vshort;vweak;regular;med;vgood
vokswagen rabbit;1980;Europe;29.8;4;89;62;1845;15.3;30000;vgood;80;medium;vshort;vweak;small;med;vgood
datsun 280-zx;1980;Japan;32.7;6;168;132;2910;11.4;25944;vgood;80;high;short;weak;regular;med;vgood
mazda rx-7 gs;1980;Japan;23.7;3;70;100;2420;12.5;44730;vgood;80;medium;vshort;vweak;regular;med;vgood
triumph tr7 coupe;1980;Europe;35;4;122;88;2500;15.1;30000;vgood;80;high;short;vweak;regular;med;vgood
ford mustang cobra;1980;USA;23.6;4;140;;2905;14.3;24750;good;80;medium;short;vweak;regular;med;good
honda accord;1980;Japan;32.4;4;107;72;2290;17;40000;vgood;80;high;short;vweak;regular;med;vgood
plymouth reliant;1981;USA;27.2;4;135;84;2490;15.7;43221;vgood;80;medium;short;vweak;regular;med;vgood
buick skylark;1981;USA;26.6;4;151;84;2635;16.4;20000;good;80;medium;short;vweak;regular;med;good
dodge aries wagon (sw);1981;USA;25.8;4;156;92;2620;14.4;11461;good;80;medium;short;vweak;regular;med;good
chevrolet citation;1981;USA;23.5;6;173;110;2725;12.6;40000;vgood;80;medium;short;weak;regular;med;vgood
plymouth reliant;1981;USA;30;4;135;84;2385;12.9;33838;vgood;80;medium;short;vweak;regular;med;vgood
toyota starlet;1981;Japan;39.1;4;79;58;1755;16.9;30000;vgood;80;high;vshort;vweak;small;med;vgood
plymouth champ;1981;USA;39;4;86;64;1875;16.4;24040;good;80;high;vshort;vweak;small;med;good
honda civic 1300;1981;Japan;35.1;4;81;60;1760;16.1;26717;vgood;80;high;vshort;vweak;small;med;vgood
subaru;1981;Japan;32.3;4;97;67;2065;17.8;13901;good;80;high;vshort;vweak;regular;med;good
datsun 210 mpg;1981;Japan;37;4;85;65;1975;19.4;17268;good;80;high;vshort;vweak;small;med;good
toyota tercel;1981;Japan;37.7;4;89;62;2050;17.3;50476;vgood;80;high;vshort;vweak;regular;med;vgood
mazda glc 4;1981;Japan;34.1;4;91;68;1985;16;49151;vgood;80;high;vshort;vweak;small;med;vgood
plymouth horizon 4;1981;USA;34.7;4;105;63;2215;14.9;30000;vgood;80;high;short;vweak;regular;med;vgood
ford escort 4w;1981;USA;34.4;4;98;65;2045;16.2;20000;good;80;high;vshort;vweak;regular;med;good
ford escort 2h;1981;USA;29.9;4;98;65;2380;20.7;20000;good;80;medium;vshort;vweak;regular;med;good
volkswagen jetta;1981;Europe;33;4;105;74;2190;14.2;30000;vgood;80;high;short;vweak;regular;med;vgood
renault 18i;1981;Europe;34.5;4;100;;2320;15.8;30000;vgood;80;high;vshort;vweak;regular;med;vgood
honda prelude;1981;Japan;33.7;4;107;75;2210;14.4;20000;good;80;high;short;vweak;regular;med;good
toyota corolla;1981;Japan;32.4;4;108;75;2350;16.8;30000;vgood;80;high;short;vweak;regular;med;vgood
datsun 200sx;1981;Japan;32.9;4;119;100;2615;14.8;30000;vgood;80;high;short;vweak;regular;med;vgood
mazda 626;1981;Japan;31.6;4;120;74;2635;18.3;40000;vgood;80;high;short;vweak;regular;med;vgood
peugeot 505s turbo diesel;1981;Europe;28.1;4;141;80;3230;20.4;20000;good;80;medium;short;vweak;heavy;med;good
volvo diesel;1981;Europe;30.7;6;145;76;3160;19.6;40000;vgood;80;medium;short;vweak;heavy;med;vgood
toyota cressida;1981;Japan;25.4;6;168;116;2900;12.6;30000;vgood;80;medium;short;weak;regular;med;vgood
datsun 810 maxima;1981;Japan;24.2;6;146;120;2930;13.8;32646;vgood;80;medium;short;weak;regular;med;vgood
buick century;1981;USA;22.4;6;231;110;3415;15.8;25571;vgood;80;medium;medium;weak;heavy;med;vgood
oldsmobile cutlass ls;1981;USA;26.6;8;350;105;3725;19;30000;vgood;80;medium;medium;weak;heavy;med;vgood
ford granada gl;1981;USA;20.2;6;200;88;3060;17.1;30000;vgood;80;low;short;vweak;heavy;med;vgood
chrysler lebaron salon;1981;USA;17.6;6;225;85;3465;16.6;23724;good;80;low;medium;vweak;heavy;med;good
chevrolet cavalier;1982;USA;28;4;112;88;2605;19.6;27235;vgood;80;medium;short;vweak;regular;med;vgood
chevrolet cavalier wagon;1982;USA;27;4;112;88;2640;18.6;42667;vgood;80;medium;short;vweak;regular;med;vgood
chevrolet cavalier 2-door;1982;USA;34;4;112;88;2395;18;40000;vgood;80;high;short;vweak;regular;med;vgood
pontiac j2000 se hatchback;1982;USA;31;4;112;85;2575;16.2;27074;vgood;80;high;short;vweak;regular;med;vgood
dodge aries se;1982;USA;29;4;135;84;2525;16;20000;good;80;medium;short;vweak;regular;med;good
pontiac phoenix;1982;USA;27;4;151;90;2735;18;33111;vgood;80;medium;short;vweak;regular;med;vgood
ford fairmont futura;1982;USA;24;4;140;92;2865;16.4;51187;vgood;80;medium;short;vweak;regular;med;vgood
amc concord dl;1982;USA;23;4;151;;3035;20.5;37179;vgood;80;medium;short;vweak;heavy;med;vgood
volkswagen rabbit l;1982;Europe;36;4;105;74;1980;15.3;33473;vgood;80;high;short;vweak;small;med;vgood
mazda glc custom l;1982;Japan;37;4;91;68;2025;18.2;44608;vgood;80;high;vshort;vweak;regular;med;vgood
mazda glc custom;1982;Japan;31;4;91;68;1970;17.6;34686;vgood;80;high;vshort;vweak;small;med;vgood
plymouth horizon miser;1982;USA;38;4;105;63;2125;14.7;48111;vgood;80;high;short;vweak;regular;med;vgood
mercury lynx l;1982;USA;36;4;98;70;2125;17.3;30000;vgood;80;high;vshort;vweak;regular;med;vgood
nissan stanza xe;1982;Japan;36;4;120;88;2160;14.5;34612;vgood;80;high;short;vweak;regular;med;vgood
honda accord;1982;Japan;36;4;107;75;2205;14.5;30000;vgood;80;high;short;vweak;regular;med;vgood
toyota corolla;1982;Japan;34;4;108;70;2245;16.9;30000;vgood;80;high;short;vweak;regular;med;vgood
honda civic;1982;Japan;38;4;91;67;1965;15;30000;vgood;80;high;vshort;vweak;small;med;vgood
honda civic (auto);1982;Japan;32;4;91;67;1965;15.7;30000;vgood;80;high;vshort;vweak;small;med;vgood
datsun 310 gx;1982;Japan;38;4;91;67;1995;16.2;30000;vgood;80;high;vshort;vweak;small;med;vgood
buick century limited;1982;USA;25;6;181;110;2945;16.4;25290;vgood;80;medium;short;weak;regular;med;vgood
oldsmobile cutlass ciera (diesel);1982;USA;38;6;262;85;3015;17;9944;acc;80;high;medium;vweak;heavy;med;acc
chrysler lebaron medallion;1982;USA;26;4;156;92;2585;14.5;34986;vgood;80;medium;short;vweak;regular;med;vgood
ford granada l;1982;USA;22;6;232;112;2835;14.7;22973;good;80;medium;medium;weak;regular;med;good
toyota celica gt;1982;Japan;32;4;144;96;2665;13.9;20000;good;80;high;short;vweak;regular;med;good
dodge charger 2.2;1982;USA;36;4;135;84;2370;13;17422;good;80;high;short;vweak;regular;med;good
chevrolet camaro;1982;USA;27;4;151;90;2950;17.3;12550;good;80;medium;short;vweak;regular;med;good
ford mustang gl;1982;USA;27;4;140;86;2790;15.6;13433;good;80;medium;short;vweak;regular;med;good
vw pickup;1982;Europe;44;4;97;52;2130;24.6;37000;vgood;80;vhigh;vshort;vweak;regular;high;vgood
dodge rampage;1982;USA;32;4;135;84;2295;11.6;47800;vgood;80;high;short;vweak;regular;med;vgood
ford ranger;1982;USA;28;4;120;79;2625;18.6;46000;vgood;80;medium;short;vweak;regular;med;vgood
chevy s-10;1982;USA;31;4;119;82;2720;19.4;9000;acc;80;high;short;vweak;regular;med;acc
